Date,Symbol,Close,High,Low,Open,Volume,RSI,PROC,SO,WR,OBV,EWMA,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
2020-01-07,AMZN,95.34300231933594,95.69450378417967,94.60199737548828,95.2249984741211,80898000.0,52.43679202432601,0.0305203793192112,6.765649083812044,-4.41499332277494,312788400.0,95.16757564544676,-12.372069602645396,1.0,-1.0,1.0,-1.0
2020-01-08,AMZN,94.59850311279295,95.5500030517578,94.3219985961914,94.9020004272461,70160000.0,50.132983622704266,-0.0261863791326093,52.04713253822291,-96.36151895204527,191131600.0,94.78662626408348,-12.971833736614188,1.0,-1.0,1.0,1.0
2020-01-09,AMZN,95.05249786376952,95.89099884033205,94.79000091552734,95.49449920654295,63346000.0,47.13969476461694,0.0181415657522738,47.79483542295842,-26.709641255605383,543665200.0,94.9641174693684,-10.20032101511424,-1.0,-1.0,-1.0,-1.0
2020-01-10,AMZN,94.15799713134766,95.34700012207033,94.0,95.26850128173828,57074000.0,51.646985236664875,0.0065068958475531,46.74724301790507,-11.67545775458898,395907200.0,94.42645806733994,-11.347967229161156,1.0,-1.0,1.0,-1.0
2020-01-13,AMZN,94.56500244140624,94.9000015258789,94.04000091552734,94.56549835205078,55616000.0,34.88065044140636,-0.0943587298458206,68.62532189865426,-100.0,-193097600.0,94.51883506309696,-19.371422159028384,1.0,-1.0,1.0,-1.0
2020-01-14,AMZN,93.47200012207033,94.35549926757812,92.92749786376952,94.29399871826172,68818000.0,51.19588044242836,-0.0947718092929787,85.90267107284936,-52.73035986164025,-720236800.0,93.82090964412778,-19.600542677274532,1.0,-1.0,1.0,-1.0
2020-01-15,AMZN,93.10099792480467,93.94300079345705,92.75450134277344,93.6125030517578,57932000.0,60.806463703911504,-0.1182869082405674,100.0,-100.0,-916262800.0,93.34096036992928,-21.094792284876135,-1.0,-1.0,-1.0,-1.0
2020-01-16,AMZN,93.89700317382812,94.27950286865234,93.3010025024414,94.14949798583984,53190000.0,56.17543521836165,-0.1359645829752254,83.33075034844293,-100.0,-1217971200.0,93.7116576651256,-29.49631423134494,-1.0,1.0,-1.0,1.0
2020-01-17,AMZN,93.23600006103516,94.33200073242188,92.8625030517578,94.29450225830078,79946000.0,59.79949134028173,-0.1845144814911903,100.0,-100.0,-2240976800.0,93.39455199904172,-31.47527071760865,-1.0,1.0,-1.0,1.0
2020-01-21,AMZN,94.5999984741211,94.7135009765625,93.0,93.25,74156000.0,58.9190994180804,-0.0767526104289149,95.26111052543948,-43.20905903188381,-2525734000.0,94.1981834864861,-30.20902227833527,-1.0,1.0,-1.0,1.0
2020-01-22,AMZN,94.3730010986328,95.125,94.16699981689452,94.80449676513672,64326000.0,68.93419105662754,0.051729100716273,58.530197172299374,11.82860078426155,-2666965200.0,94.31472858561726,-29.492925664013043,1.0,1.0,-1.0,1.0
2020-01-23,AMZN,94.22899627685548,94.4990005493164,93.63800048828124,94.25550079345705,49692000.0,61.743063592972675,0.1584801143065804,9.991280723850018,42.67144795578476,-2141372000.0,94.2575737091262,-23.963539407356848,1.0,1.0,1.0,1.0
2020-01-24,AMZN,93.08200073242188,94.74949645996094,92.37200164794922,94.56849670410156,75324000.0,63.09597957435807,0.1460710744587826,0.0,-40.48548220053244,-2393641200.0,93.47385837311714,-26.51205689825923,-1.0,1.0,-1.0,1.0
2020-01-27,AMZN,91.41699981689452,92.0500030517578,90.76699829101562,91.0,70570000.0,57.639910818015366,0.0814071154381973,0.0,-40.371962518661896,-2249930800.0,92.10261932501716,-24.22302708691552,1.0,1.0,1.0,1.0
