Symbol,accPrediction(1),accPrediction(30)
NFLX,0.49382716049382713,0.6831275720164609
AAPL,0.5432098765432098,0.6337448559670782
AMZN,0.5267489711934157,0.6378600823045267
GOOGL,0.49794238683127573,0.6666666666666666
META,0.49382716049382713,0.6584362139917695
