Date,Symbol,Close,High,Low,Open,Volume,RSI,PROC,SO,WR,OBV,EWMA,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
2020-02-07,GOOGL,73.51460266113281,73.8197716529651,72.83368880237215,72.93209763057403,28360000.0,57.930794781102854,0.0899734622148455,0.0,-10.280535865513492,-648330400.0,73.31026400308888,-7.978335757123759,-1.0,1.0,-1.0,1.0
2020-02-10,GOOGL,74.9832992553711,74.9942352555109,73.32027642689937,73.4211727832516,38302000.0,53.62846924518537,0.0642015571691015,17.437686355876778,2.2805375323776063,-619412000.0,74.42562083794384,-6.549245520975376,1.0,1.0,1.0,1.0
2020-02-11,GOOGL,75.0528793334961,76.0379762977609,74.82375421140046,75.21242207126672,34852000.0,71.13769657379999,0.0874842021116149,0.0,-19.1964646687891,-407671200.0,74.84379316831202,-4.279319713537916,-1.0,1.0,-1.0,1.0
2020-02-12,GOOGL,75.47882843017578,75.56182675183665,74.98379622548907,75.3411501104178,31042000.0,47.54372371869485,0.0175749639569024,9.708334472295876,-100.0,-683332000.0,75.26715000955454,-8.257387375338752,-1.0,1.0,-1.0,1.0
2020-02-13,GOOGL,75.21839904785156,75.84265359210247,74.75169269042738,75.04990727608255,22914000.0,63.54763138799627,0.1224015758442146,32.557714154239946,100.0,143989600.0,75.23464936841921,4.945865153290114,1.0,1.0,1.0,1.0
2020-02-14,GOOGL,75.48379516601562,75.54940357919031,74.82871969441815,75.27504801856062,23198000.0,52.91326983372255,0.1642345942630677,20.598924219369582,-12.16515507530059,655624800.0,75.40074656681682,8.29794428104006,-1.0,-1.0,-1.0,-1.0
2020-02-18,GOOGL,75.51908874511719,76.07177387697551,75.10010038845961,75.2656116722523,25642000.0,63.740670932074735,0.2312180124946586,0.0,-0.4675962849571638,558275600.0,75.4796413523504,9.599097200293926,1.0,-1.0,1.0,-1.0
2020-02-19,GOOGL,75.7889633178711,76.08071636687094,75.59562667949956,75.90476963599502,22746000.0,58.91644204359124,0.149723554021816,0.6176683880432943,68.48300576671012,1620346800.0,75.68585599603087,20.024944943766545,-1.0,-1.0,-1.0,-1.0
2020-02-20,GOOGL,75.39730834960938,75.89830145379602,74.76459789402227,75.49770415211047,25962000.0,80.09499680347881,0.1797941637491333,0.0,-10.001197047769516,1454393900.0,75.49349089841654,22.594477074446175,1.0,-1.0,1.0,-1.0
2020-02-21,GOOGL,73.7308120727539,75.09712201651912,73.48379648553163,74.78051645575131,42520000.0,39.93855056150321,-0.0237316280604758,0.0,-71.00848610939279,1249864000.0,74.31837168130812,6.269455066942228,1.0,1.0,-1.0,1.0
2020-02-24,GOOGL,70.56976318359375,71.39084289249986,69.92016328642978,70.72831242707177,49560000.0,40.26011253813703,-0.0743842293729541,57.822387483473584,-84.8512560432034,1388461900.0,71.81929934949854,8.38860115025858,-1.0,1.0,1.0,1.0
2020-02-25,GOOGL,68.90276336669922,71.41419813520963,68.6095238769189,71.1234461681275,51580000.0,32.9847493972739,-0.1667163547643762,100.0,-88.14923918961516,1147436200.0,69.87494202763231,4.226611674492915,-1.0,-1.0,1.0,-1.0
2020-02-26,GOOGL,69.10902404785156,70.26211217876279,68.41717420286913,69.33318169882985,49776000.0,45.50514660060085,-0.0275315606591173,100.0,-22.519130192961526,1352732400.0,69.36433004111181,5.9172757021452185,1.0,1.0,1.0,1.0
2020-02-27,GOOGL,65.35553741455078,68.06181060451775,65.32024947597561,67.55186841887534,62290000.0,44.22793165067251,0.0091857667079363,53.16591445227979,-2.9146601492250563,1411561600.0,66.69180162340446,4.481993684875633,1.0,1.0,1.0,1.0
2020-02-28,GOOGL,66.56330108642578,66.72234329446091,63.032474577890135,63.33565660786584,80198000.0,55.30604642996642,0.1305077833649945,0.0,75.43151342481792,1503336600.0,66.606134598752,11.684475644656844,1.0,-1.0,1.0,-1.0
2020-03-02,GOOGL,68.90276336669922,68.95991571747211,65.86498244629246,67.1666772889554,55430000.0,52.56333258989325,0.0146792632726781,24.51667756703728,-73.9895356442119,1429880000.0,68.13722044405016,7.658831078559132,-1.0,1.0,-1.0,1.0
2020-03-03,GOOGL,66.48725128173828,69.98974398483931,66.0657754377629,69.46737937518863,56602000.0,60.25557549972498,0.0132079316212969,1.166699344993403,-99.15149893823131,1359500900.0,67.0372410025089,6.242988758555185,-1.0,1.0,-1.0,1.0
2020-03-04,GOOGL,68.66817474365234,68.72682112865719,66.45146576661222,67.5429195091109,47598000.0,44.88118720272273,-0.0887038639427724,100.0,-100.0,1156177200.0,68.12453016327119,-0.2853947601792299,1.0,1.0,1.0,1.0
2020-03-05,GOOGL,65.34609985351562,67.27801792596884,64.69401237722127,66.87641946790515,54380000.0,56.087407450187136,-0.0059887216074357,78.94724785353651,-24.45738991261427,1013803200.0,66.2722432901008,4.765056254777747,1.0,1.0,1.0,1.0
2020-03-06,GOOGL,64.40076446533203,64.74916932165483,62.48574738930903,63.118950843139224,64640000.0,64.18236674027378,0.0755032548703283,20.70288721338787,7.426231012803451,1121429800.0,65.02459074025495,7.571610785359738,-1.0,1.0,-1.0,1.0
2020-03-09,GOOGL,60.427093505859375,62.263082400265624,59.54488374037898,59.88882166573821,69252000.0,58.12385575593915,0.0036422356756848,13.985226250324358,-100.0,1031531300.0,61.95959258399123,2.925353121117496,1.0,1.0,-1.0,1.0
2020-03-10,GOOGL,63.37839889526367,63.41219659651664,60.36347937262164,62.345595294100725,54872000.0,45.273715811642546,0.0300442306076118,63.585239055909035,37.51906740098896,1540864400.0,62.905463458172854,10.11192779330105,-1.0,1.0,-1.0,1.0
2020-03-11,GOOGL,60.184051513671875,62.47183304517387,59.20194263189845,62.041415764143366,54732000.0,44.72091435733801,0.0317716102298861,39.69599964348846,6.363749836075416,1437484700.0,61.09118882850553,8.314135094879134,1.0,1.0,1.0,1.0
2020-03-12,GOOGL,55.24616622924805,59.083154897439194,55.09308498951623,55.79636758276224,94326000.0,71.68142304209363,0.1015254341365911,0.0,41.91594724434008,1411707700.0,57.194507095667205,13.666794056613456,1.0,1.0,1.0,1.0
2020-03-13,GOOGL,60.3515510559082,60.35801254815982,55.28294645939998,58.39925895072103,79400000.0,67.00593008935763,0.0652350697352904,11.485305072487336,45.953991758570886,1515458700.0,59.2992030691612,16.209974258582164,1.0,1.0,1.0,1.0
2020-03-16,GOOGL,53.33016204833984,56.93205724294151,53.03592525411457,54.15570870045383,96520000.0,73.80442249374593,0.0766796972150621,9.792185093642075,-19.91934570144481,1378259000.0,55.31984238861363,17.36795396006258,-1.0,1.0,-1.0,1.0
2020-03-17,GOOGL,55.569732666015625,55.96436530296989,52.14228995066624,54.206907526555774,83194000.0,55.130149708215335,0.0260293906563474,20.81254708878891,-57.18563291983047,1392270400.0,55.48643590688163,16.213952460371132,-1.0,-1.0,-1.0,-1.0
2020-03-18,GOOGL,54.23424530029297,54.920130501724366,51.54089482360583,52.68106014056575,93044000.0,57.1703363951972,-0.0365992537312548,53.22110569902242,-77.10585714772935,1086751300.0,54.651642169155856,10.89462961058203,1.0,-1.0,-1.0,-1.0
2020-03-19,GOOGL,55.25213623046875,57.28693382235737,52.4628645755933,54.08662553826409,74064000.0,54.81982167516091,0.1043965883034159,22.53403728484447,21.421761102463424,1674050100.0,55.05197154336445,25.758366453175725,1.0,-1.0,1.0,-1.0
2020-03-20,GOOGL,53.09209060668945,56.58464493927345,52.78841182760424,56.20790275611239,82878000.0,50.14420451449944,0.0400063499351514,11.48553482270705,-69.91236288240242,1417691800.0,53.74538425224779,16.663858972038952,1.0,-1.0,1.0,-1.0
2020-03-23,GOOGL,52.39228439331055,53.02747485160064,50.1427750747484,52.503616205473385,83672000.0,49.044318310437774,0.0726325261856182,0.0,-40.41528281576034,1490902800.0,52.84331767962296,19.03595000164438,-1.0,-1.0,-1.0,-1.0
2020-03-24,GOOGL,56.163665771484375,56.32867650822364,53.99765527065003,54.86992638457608,72468000.0,42.6321291265632,-0.0682521061124708,100.0,-67.74806255141274,1256370800.0,55.05688307419724,14.871999771484184,-1.0,-1.0,-1.0,-1.0
2020-03-25,GOOGL,54.752628326416016,56.96684589730019,53.82767559964816,55.893783183631335,90324000.0,43.59148724398928,-0.0662414859274827,78.57496444427998,-100.0,887075000.0,54.85404657567642,7.181232219546629,-1.0,1.0,-1.0,1.0
2020-03-26,GOOGL,57.79935836791992,58.2248082107235,54.27599070550208,55.403725907105226,76562000.0,49.87525897327732,-0.0800674561469589,100.0,-54.726862739083174,806443000.0,56.81758777050542,5.928628424933308,-1.0,1.0,-1.0,1.0
