Date,Symbol,Close,High,Low,Open,Volume,RSI,PROC,SO,WR,OBV,EWMA,Close_detrend,Target(1),Target(30),Prediction(1),Prediction(30)
2020-02-05,AAPL,77.7225570678711,78.52287271376575,77.11808861152979,78.22305134186004,118826800.0,51.20203014972831,0.1047601093838982,0.8881304642332509,-2.177822195795301,-846705600.0,77.28736889013881,-12.116770487942404,1.0,1.0,1.0,1.0
2020-02-06,AAPL,78.63166809082031,78.63408832571153,77.43482504328904,77.99335327455661,105425600.0,49.561957825331696,0.1170886846530879,0.0,20.9575869811324,-859383600.0,78.18356835726087,-10.58802510042682,1.0,1.0,1.0,1.0
2020-02-07,AAPL,77.56285858154297,78.37961468469555,77.07086561575886,78.12998293153962,117684000.0,56.644130099849654,0.0839832019576531,0.0,-5.64802951878235,-766986000.0,77.76976184011544,-10.133467945333123,0.0,1.0,-1.0,1.0
2020-02-10,AAPL,77.93123626708984,77.93123626708984,76.06505957583339,76.14503551271558,109348800.0,57.66868995508355,0.0889315479027581,6.350804451762652,31.164731995326605,-518020000.0,77.8774114580984,-6.070092736040195,1.0,1.0,-1.0,1.0
2020-02-11,AAPL,77.46106719970703,78.50079892091712,77.242943577511,78.42809351227764,94323200.0,53.631779919038664,0.058244428720258,30.078035500087605,7.716680609669124,-405802400.0,77.59984861917081,-5.8512304662004055,-1.0,1.0,-1.0,1.0
2020-02-12,AAPL,79.30059051513672,79.30543507665523,77.91185812540034,77.91185812540034,113730400.0,47.976837015276,0.0199665336167982,0.0,-14.80224343256318,-619107200.0,78.73367654981476,-9.95565616022779,-1.0,1.0,-1.0,1.0
2020-02-13,AAPL,78.73590087890625,79.06309005719272,78.36751442858379,78.57109699820505,94747600.0,50.70703076672033,0.0028150113756636,57.552961758193696,-57.770959188694206,-538498400.0,78.73515943587574,-7.233719244391892,1.0,1.0,1.0,1.0
2020-02-14,AAPL,78.75528717041016,79.0049189494575,78.24632709184701,78.70438598515923,80113600.0,57.05122070106012,0.1824505878098808,21.278080221106016,2.3314757512343727,641266800.0,78.74857792556534,9.454411824276022,-1.0,-1.0,1.0,-1.0
2020-02-18,AAPL,77.313232421875,77.49500334449696,76.24926307124777,76.43103399386973,152531200.0,52.24466304177882,0.2440465915203107,0.0,-3.235416329463625,843402400.0,77.7916809231051,10.202914291869732,-1.0,-1.0,1.0,-1.0
2020-02-19,AAPL,78.43292236328125,78.66316843831524,77.55557609214306,77.55557609214306,93984000.0,53.91941316851759,0.1150785695936197,0.0,1.5272498609490457,936354400.0,78.21917521655587,12.85279920575249,1.0,-1.0,1.0,-1.0
2020-02-20,AAPL,77.6282958984375,78.68256868592816,77.12176183559734,78.19300168361448,100566000.0,64.04288562868486,0.1250759651781757,10.13268954703164,4.034481726025613,1416321200.0,77.82525567114362,18.881849769049325,-1.0,-1.0,-1.0,-1.0
2020-02-21,AAPL,75.87116241455078,77.66464101568167,75.25314438056381,77.22111592621015,129554000.0,50.59316467021259,0.0519767020645632,1.5326340699562253,-14.203673934693434,1148623400.0,76.52252683341506,14.330311037912566,1.0,-1.0,1.0,-1.0
2020-02-24,AAPL,72.26725006103516,73.72141704412205,70.09812208236266,72.04428193220959,222195200.0,43.64223766531345,-0.0994612742139511,54.07299790530174,-96.86330764262269,1063669800.0,73.68567565182845,5.153131437635167,1.0,1.0,1.0,1.0
2020-02-25,AAPL,69.81941986083984,73.32154259168735,69.34681990026353,72.93861510277681,230673600.0,39.676716724369165,-0.1439620115565528,60.68595799610642,-100.0,768667000.0,71.10817179116937,-0.4014361631304979,1.0,1.0,1.0,1.0
